epithelial cells,non-epithelial cells
110,85
0,52
108,14
5,75
7,198
13,152
3,97
0,15
24,70
51,153
0,182
0,93
48,102
73,95
4,26
40,81
63,201
61,47
2,48
37,24
6,58
85,109
3,172
4,297
5,77
208,39
120,25
39,60
15,89
134,20
2,33
18,53
72,77
89,45
72,13
4,81
42,58
182,8
57,27
128,57
5,137
2,198
1,159
4,152
18,37
141,87
0,60
4,171
32,18
106,95
194,5
2,88
16,59
14,127
29,157
112,83
30,1
173,35
96,153
9,19
11,33
347,11
40,77
57,208
93,112
2,190
91,39
126,16
121,81
0,227
17,172
34,83
37,102
0,181
105,55
210,59
89,7
27,99
1,196
0,91
15,16
0,170
4,320
11,144
69,169
5,23
22,56
6,190
8,113
45,12
31,50
16,119
13,60
156,67
7,159
93,120
59,160
197,49
81,2
38,228
1,95
46,103
99,123
5,45
0,129
8,9
64,20
0,68
206,35
25,16
13,154
48,57
91,44
50,136
3,180
143,57
18,0
71,9
42,27
133,97
3,117
38,68
71,152
19,23
10,103
124,61
0,3
67,115
1,176
249,50
5,70
0,149
8,71
48,69
29,219
0,11
0,87
238,35
165,16
26,228
0,7
270,2
1,186
110,25
0,102
155,99
2,83
8,130
11,114
126,9
248,46
23,335
1,125
1,196
5,75
95,105
124,11
21,125
23,126
0,26
134,37
205,150
123,17
90,135
38,52
0,114
0,8
10,89
56,49
144,28
1,5
0,109
48,15
64,207
2,31
214,29
42,131
205,13
57,48
0,145
59,81
40,78
0,161
9,11
47,21
53,17
150,183
23,87
68,151
4,23
6,26
43,96
2,74
14,88
196,20
55,49
5,14
20,6
7,20
0,14
2,95
65,36
176,37
76,14
7,102
11,29
78,34
1,157
292,38
10,53
37,109
0,8
124,3
176,31
68,269
237,22
95,22
1,38
65,4
68,23
117,95
31,6
48,174
82,31
0,11
57,84
4,66
2,132
0,3
0,66
0,4
5,3
0,90
6,26
1,60
42,43
13,39
53,138
85,127
7,15
0,8
2,24
46,122
1,205
75,48
0,133
9,171
3,144
12,23
30,182
5,97
59,83
130,60
0,57
2,76
47,80
1,181
14,78
5,74
160,59
61,226
83,89
80,130
0,30
16,143
18,98
44,16
0,12
187,15
146,36
31,145
0,67
34,242
152,30
8,2
8,50
19,145
60,162
182,53
43,8
79,174
11,183
7,122
17,216
5,183
38,183
0,74
5,68
4,88
0,4
128,31
2,130
128,132
105,185
82,149
3,61
106,31
257,21
14,47
12,10
1,13
133,33
0,24
82,14
56,38
21,139
14,155
2,70
29,24
0,87
23,17
0,37
106,22
45,108
3,5
149,66
84,100
23,31
3,70
6,90
5,175
108,6
44,35
14,204
113,96
0,181
41,61
0,69
35,9
100,26
94,73
43,78
104,33
33,107
66,131
2,86
35,143
0,80
19,87
128,81
8,54
0,10
8,238
13,14
5,10
30,67
151,80
2,6
152,51
0,10
85,12
3,233
49,58
69,171
61,45
41,153
0,67
128,26
75,92
10,64
0,67
47,111
20,27
79,34
15,3
32,59
21,95
2,5
47,71
13,106
19,83
108,22
137,27
30,129
90,78
4,1
22,94
4,10
239,9
43,106
49,12
127,65
3,1
112,23
25,260
0,156
3,170
154,26
1,92
0,201
99,192
197,72
79,4
0,132
173,109
47,159
6,250
0,95
0,166
0,28
168,105
125,53
91,83
109,84
2,28
132,48
0,57
31,194
66,150
18,36
50,197
19,161
192,5
21,62
25,39
12,162
111,196
0,137
1,65
15,15
3,37
1,136
2,8
125,22
24,6
53,54
1,149
100,101
2,106
83,108
35,164
22,39
81,39
0,124
8,145
0,77
0,86
40,17
5,51
0,30
0,98
178,18
30,101
110,47
22,10
58,142
2,1
127,169
13,132
3,92
256,24
19,16
201,119
0,57
106,41
49,106
3,0
24,44
5,32
0,74
61,51
5,67
8,60
31,86
19,87
0,33
199,45
20,137
46,174
1,107
79,52
40,75
169,26
55,107
13,21
3,194
1,107
55,217
62,172
95,58
36,180
82,143
25,29
0,9
5,210
11,94
24,21
15,103
31,5
162,73
8,63
1,352
0,88
91,103
0,83
104,89
77,67
7,63
0,138
71,173
72,69
3,0
9,29
0,95
30,55
60,48
0,107
2,41
115,85
0,9
2,8
156,22
14,81
35,34
32,239
1,112
90,7
0,80
73,135
0,109
18,109
109,119
101,11
24,266
207,51
139,104
157,79
0,118
7,109
51,28
109,108
3,8
122,47
195,23
12,184
0,14
87,100
100,207
78,121
0,32
0,53
160,70
106,86
72,133
40,102
216,12
114,183
58,140
31,124
54,158
6,176
82,220
39,95
147,111
0,17
42,263
3,75
0,102
111,93
142,116
44,21
1,10
126,14
15,3
73,47
4,79
76,30
83,22
239,53
56,7
0,92
2,189
47,169
4,59
15,88
98,26
18,35
35,123
22,127
8,40
0,290
37,96
0,108
2,76
20,80
